"","Fuel.Type.Code","Station.Name","Street.Address","Intersection.Directions","City","State","ZIP","Station.Phone","Groups.With.Access.Code","Latitude","Longitude","ID","Open.Date","Access.Code"
"1","ELEC","JCCC MTC","12345 College Blvd","In the parking garage NW to the Carlsen Ctr","Overland Park","KS",66210,"888-758-4389","Public",38.92591,-94.72819,37683,"2011-08-15","public"
"2","ELEC","Briggs Nissan - Lawrence","2101 W 29th Terrace","","Lawrence","KS",66047,"785-856-8889","Public - Call ahead",38.929774,-95.261724,47165,"2012-01-31","public"
"3","ELEC","Briggs Auto Group","2500 Stagg Hill Rd","","Manhattan","KS",66502,"785-537-8330","Public - Call ahead",39.16835,-96.60002,47167,"2012-01-31","public"
"4","ELEC","Briggs Auto Group","2500 Stagg Hill Rd","","Manhattan","KS",66502,"785-537-8330","Private",39.16835,-96.60002,47168,"2012-01-31","private"
"5","ELEC","Marshall Motor Co","3550 S 9th St","","Salina","KS",67401,"785-827-9641","Public - Call ahead",38.77118,-97.61415,47169,"2012-01-31","public"
"6","ELEC","Marshall Motor Co","3550 S 9th St","","Salina","KS",67401,"785-827-9641","Private",38.77118,-97.61415,47170,"2012-01-31","private"
"7","ELEC","Capital City Nissan - Topeka","1980 SW Topeka Blvd","","Topeka","KS",66612,"785-267-6700","Public - Call ahead",39.03305,-95.68228,47171,"2012-01-31","public"
"8","ELEC","Capital City Nissan - Topeka","1980 SW Topeka Blvd","","Topeka","KS",66612,"785-267-6700","Private",39.03305,-95.68228,47172,"2012-01-31","private"
"9","ELEC","Orr Nissan - Wichita","10625 E Kellogg Dr","","Wichita","KS",67207,"316-618-2000","Public - Call ahead",37.679034,-97.217163,47173,"2012-01-31","public"
"10","ELEC","Orr Nissan - Wichita","10625 E Kellogg Dr","","Wichita","KS",67207,"316-618-2000","Private",37.679034,-97.217163,47174,"2012-01-31","private"
"11","ELEC","Evergy - Topeka General Office","818 S Kansas Ave","Located on 8th St and S Kansas Av","Topeka","KS",66612,"800-383-1183","Public",39.048,-95.674347,47919,"2011-10-01","public"
"12","ELEC","Evergy - Topeka Operations Center","4001 NW 14th","Located in the SW corner of the covered parking at the Fleet Shop","Topeka","KS",66618,"800-383-1183","Public",39.076033,-95.723478,47920,"2011-06-01","public"
"13","ELEC","Evergy - Professional Development Center","801 NE US Highway 24","Located on the west side of the parking lot","Topeka","KS",66608,"800-383-1183","Public",39.088891,-95.645101,47921,"2012-04-01","public"
"14","ELEC","Evergy - Wichita General Office","100 N Broadway St","Located Bank of America building parking garage, level 3","Wichita","KS",67202,"800-383-1183","Public",37.686731,-97.334925,47922,"2011-06-01","public"
"15","ELEC","Evergy - Wichita Service Building","1900 E Central Ave","Located south of the Fleet office.  Space is painted green","Wichita","KS",67214,"800-383-1183","Public",37.695062,-97.313754,47923,"2011-06-01","public"
"16","ELEC","Evergy - Lawrence Service Center","746 E 27th St","Located in the public parking area in the NW corner","Lawrence","KS",66046,"800-383-1183","Public",38.935654,-95.226631,47924,"2012-01-01","public"
"17","ELEC","Evergy - Manhattan Service Center","225 Seth Child Rd","","Manhattan","KS",66502,"800-383-1183","Public",39.192486,-96.612271,47926,"2012-05-01","public"
"18","ELEC","Evergy - Independence Service Center","1101 E Main St","","Independence","KS",67301,"800-383-1183","Public",37.223118,-95.683942,47927,"2012-05-01","public"
"19","ELEC","Evergy - Shawnee Service Center","23505 W 86th St","Located in front of the main entrance","Shawnee","KS",66227,"800-383-1183","Public",38.9713063887873,-94.8599645423279,47928,"2012-04-01","public"
"20","ELEC","Evergy - El Dorado Service Center","700 N Star St","","El Dorado","KS",67042,"800-383-1183","Public",37.825334,-96.852057,47929,"2012-04-01","public"
"21","ELEC","Evergy - Newton Service Center","300 W 1st St","Located to the west of the building","Newton","KS",67114,"800-383-1183","Public",38.043338,-97.349011,47930,"2012-05-01","public"
"22","ELEC","Evergy - Hutchinson Electric Service Center","1000 N Halstead St","","Hutchinson","KS",67501,"800-383-1183","Public",38.063975,-97.884172,47931,"2012-04-01","public"
"23","ELEC","Evergy - Arkansas City Service Center","3113 N Summit St","","Arkansas City","KS",67005,"800-383-1183","Public",37.096241,-97.040242,47932,"2012-04-01","public"
"24","ELEC","Evergy - Wolf Creek - Dwight D Eisenhower Learning Center","1550 Oxen Ln NE","","Burlington","KS",66839,"800-383-1183","Public",38.23899,-95.6886,47933,"2012-04-01","public"
"25","ELEC","Evergy - Gordon Evans Energy Center","6001 N 151 St W","","Colwich","KS",67030,"800-383-1183","Public",37.790387,-97.522657,47934,"2013-01-01","public"
"26","ELEC","McCarthy Olathe Nissan","683 N Rawhide Rd","","Olathe","KS",66061,"913-232-2624","Public - Call ahead",38.890314,-94.790275,49787,"2012-10-25","public"
"27","ELEC","McCarthy Olathe Nissan","683 N Rawhide Rd","","Olathe","KS",66061,"913-232-2624","Private",38.890314,-94.790275,49788,"2012-10-25","private"
